body_temperature,respiratory_rate,walking_capacity,sleeping_duration,heart_rate,ruminating,health_status
0.2,19,5006,7.2,43,4.5,healthy
9.6,19,13257,2.8,56,4.6,healthy
8.7,23,13257,3.5,70,6.6,healthy
8.2,12,5025,3.4,40,6.4,unhealthy
8.1,36,13095,6.5,48,4.2,unhealthy
8.4,20,13257,4.3,56,6.8,healthy
8.1,15,12205,6.3,63,5.1,healthy
9.1,25,5315,5.0,46,6.3,healthy
8.1,30,9664,2.8,57,4.4,healthy
0.6,16,5004,7.2,40,3.3,healthy
38.1,30,13257,2.8,65,4.6,healthy
38.8,28,12141,3.2,41,4.9,healthy
38.0,23,13257,2.8,74,6.9,healthy
39.8,21,13257,2.8,53,6.7,healthy
38.2,25,13257,2.8,65,3.8,healthy
38.8,25,11332,2.8,51,6.9,healthy
40.6,21,5004,6.7,40,3.7,healthy
40.6,26,5004,5.7,44,5.0,healthy
40.2,35,5019,7.2,73,3.4,healthy
38.1,21,13257,2.8,68,3.6,healthy
40.3,38,5178,7.2,37,5.3,unhealthy
38.2,25,13257,2.9,78,6.9,healthy
38.3,16,13257,2.8,49,5.6,healthy
40.5,17,5004,3.4,45,4.1,healthy
38.5,17,5004,3.6,51,6.7,healthy
40.5,24,5662,6.9,60,3.1,healthy
39.3,23,5029,7.2,38,3.6,healthy
40.5,32,13225,7.2,63,5.1,healthy
38.0,36,5399,7.1,49,6.0,healthy
38.9,36,5004,7.2,38,4.9,unhealthy
38.0,22,13257,2.8,54,6.7,healthy
39.1,19,13257,7.0,73,5.3,healthy
38.1,22,8419,3.0,40,3.5,healthy
38.1,33,5031,7.2,58,3.6,healthy
38.6,39,13257,2.8,61,5.9,healthy
40.5,23,13257,2.8,75,6.9,healthy
40.4,26,5496,6.6,45,3.3,healthy
39.3,27,13257,2.8,80,6.9,healthy
40.6,17,13123,6.3,48,6.1,healthy
39.1,36,5005,3.5,42,4.9,unhealthy
38.4,39,13257,3.0,75,6.1,healthy
40.0,31,5009,6.6,38,4.3,unhealthy
39.2,26,13025,2.9,46,4.7,healthy
40.4,15,9704,2.8,44,4.5,healthy
39.5,24,12854,4.4,52,5.4,healthy
40.6,22,5012,7.2,47,3.9,healthy
38.0,34,5004,7.2,47,5.4,unhealthy
39.0,28,13257,2.8,50,5.2,healthy
38.2,18,13257,3.9,77,5.3,healthy
38.0,20,11281,3.4,61,6.6,healthy
38.0,41,5005,2.8,61,5.5,healthy
40.2,15,12169,4.7,62,3.2,healthy
40.3,32,5200,5.2,41,4.7,unhealthy
39.3,18,13257,6.6,39,6.2,healthy
38.3,34,5068,6.3,41,4.4,unhealthy
39.6,25,7378,3.4,51,6.1,healthy
38.2,36,5370,7.1,46,6.5,unhealthy
38.0,26,5135,2.8,51,3.1,healthy
