,respiratory_rate,walking_capacity,sleeping_duration,heart_rate,ruminating,health_status
0,19,5006,7.2,43,4.5,healthy
1,19,13257,2.8,56,4.6,healthy
2,23,13257,3.5,70,6.6,healthy
3,12,5025,3.4,40,6.4,unhealthy
4,36,13095,6.5,48,4.2,unhealthy
5,20,13257,4.3,56,6.8,healthy
6,15,12205,6.3,63,5.1,healthy
7,25,5315,5.0,46,6.3,healthy
8,30,9664,2.8,57,4.4,healthy
9,16,5004,7.2,40,3.3,healthy
10,30,13257,2.8,65,4.6,healthy
11,28,12141,3.2,41,4.9,healthy
12,23,13257,2.8,74,6.9,healthy
13,21,13257,2.8,53,6.7,healthy
14,25,13257,2.8,65,3.8,healthy
15,25,11332,2.8,51,6.9,healthy
16,21,5004,6.7,40,3.7,healthy
17,26,5004,5.7,44,5.0,healthy
18,35,5019,7.2,73,3.4,healthy
19,21,13257,2.8,68,3.6,healthy
20,38,5178,7.2,37,5.3,unhealthy
21,25,13257,2.9,78,6.9,healthy
22,16,13257,2.8,49,5.6,healthy
23,17,5004,3.4,45,4.1,healthy
24,17,5004,3.6,51,6.7,healthy
25,24,5662,6.9,60,3.1,healthy
26,23,5029,7.2,38,3.6,healthy
27,32,13225,7.2,63,5.1,healthy
28,36,5399,7.1,49,6.0,healthy
29,36,5004,7.2,38,4.9,unhealthy
30,22,13257,2.8,54,6.7,healthy
31,19,13257,7.0,73,5.3,healthy
32,22,8419,3.0,40,3.5,healthy
33,33,5031,7.2,58,3.6,healthy
34,39,13257,2.8,61,5.9,healthy
35,23,13257,2.8,75,6.9,healthy
36,26,5496,6.6,45,3.3,healthy
37,27,13257,2.8,80,6.9,healthy
38,17,13123,6.3,48,6.1,healthy
39,36,5005,3.5,42,4.9,unhealthy
40,39,13257,3.0,75,6.1,healthy
41,31,5009,6.6,38,4.3,unhealthy
42,26,13025,2.9,46,4.7,healthy
43,15,9704,2.8,44,4.5,healthy
44,24,12854,4.4,52,5.4,healthy
45,22,5012,7.2,47,3.9,healthy
46,34,5004,7.2,47,5.4,unhealthy
47,28,13257,2.8,50,5.2,healthy
48,18,13257,3.9,77,5.3,healthy
49,20,11281,3.4,61,6.6,healthy
50,41,5005,2.8,61,5.5,healthy
51,15,12169,4.7,62,3.2,healthy
52,32,5200,5.2,41,4.7,unhealthy
53,18,13257,6.6,39,6.2,healthy
54,34,5068,6.3,41,4.4,unhealthy
55,25,7378,3.4,51,6.1,healthy
56,36,5370,7.1,46,6.5,unhealthy
57,26,5135,2.8,51,3.1,healthy
58,25,5866,3.7,63,3.2,healthy
59,24,13257,5.1,57,5.9,healthy
60,40,13257,5.7,50,5.1,healthy
61,25,13257,7.2,83,6.1,healthy
62,34,5004,7.2,47,5.8,unhealthy
63,19,5744,7.2,47,4.1,healthy
64,26,5004,7.1,39,3.3,healthy
65,24,13257,2.8,48,7.0,healthy
66,17,13257,2.8,83,7.0,healthy
67,24,5011,2.9,42,5.6,healthy
68,20,13257,2.8,79,4.3,healthy
69,25,5374,6.8,41,6.3,healthy
70,27,7556,6.3,42,4.1,healthy
71,30,11249,6.9,50,6.3,healthy
72,17,13257,2.8,82,7.0,healthy
73,39,13257,3.0,72,6.8,healthy
74,18,5004,5.3,42,3.2,healthy
75,26,5010,7.2,44,4.5,healthy
76,23,5004,7.2,43,4.7,healthy
77,37,13257,5.7,76,5.9,healthy
78,22,12662,6.6,60,5.0,healthy
79,32,13257,2.9,52,6.0,healthy
80,18,5004,7.2,40,3.0,healthy
81,19,12419,3.1,64,5.3,healthy
82,36,13257,2.8,58,5.0,healthy
83,30,13161,6.1,42,5.6,healthy
84,23,13257,2.8,61,6.8,healthy
85,24,5004,2.8,37,5.2,healthy
86,21,13257,2.9,47,5.2,healthy
87,28,13204,2.8,50,5.4,healthy
88,30,13257,2.8,83,6.9,healthy
89,21,13257,2.8,83,5.5,healthy
90,28,5005,2.9,50,3.8,healthy
91,25,5004,3.6,38,3.8,healthy
92,30,7259,3.0,59,5.6,healthy
93,19,10794,4.0,42,6.9,healthy
94,26,8653,2.9,46,4.2,healthy
95,35,13257,2.8,62,6.8,healthy
96,22,5016,6.6,64,3.9,healthy
97,19,9143,2.8,50,4.6,healthy
98,30,9975,7.2,45,3.6,healthy
99,10,5722,2.8,66,4.2,healthy
100,34,5771,6.9,61,4.1,healthy
101,32,5004,7.2,38,3.1,unhealthy
102,39,5004,7.2,40,3.1,unhealthy
103,29,5757,3.2,76,4.5,healthy
104,27,12594,2.9,66,7.0,healthy
105,19,5004,4.8,37,5.6,healthy
106,32,13065,5.0,55,5.0,healthy
107,13,13257,7.1,58,6.8,healthy
108,32,5004,3.3,48,3.2,unhealthy
109,32,13257,6.8,51,6.6,healthy
110,13,12096,7.0,45,4.9,healthy
111,27,13257,3.1,43,3.4,healthy
112,30,5141,5.1,51,3.0,healthy
113,33,12944,6.8,49,5.3,healthy
114,20,8214,2.8,64,5.3,healthy
115,18,5004,7.2,41,3.0,healthy
116,35,11598,7.2,44,5.9,unhealthy
117,24,5098,3.2,50,3.6,healthy
118,33,9883,2.8,51,6.2,healthy
119,33,10823,6.4,73,6.6,healthy
120,37,6723,6.7,51,3.4,unhealthy
121,15,5004,7.2,47,3.0,healthy
122,42,13257,2.8,59,6.9,healthy
123,38,13257,5.5,75,6.7,healthy
124,19,13257,3.3,40,5.8,healthy
125,17,8262,7.2,46,5.7,healthy
126,20,5004,7.2,40,3.4,healthy
127,22,13257,2.9,47,3.5,healthy
128,28,13257,2.9,82,7.0,healthy
129,25,5004,7.2,39,3.2,healthy
130,18,13257,2.9,75,6.6,healthy
131,16,13257,3.2,53,6.9,healthy
132,19,5045,4.4,39,3.7,healthy
133,21,13257,2.8,75,6.9,healthy
134,23,13257,2.8,79,6.9,healthy
135,20,13257,2.8,64,3.5,healthy
136,17,9848,2.8,59,4.7,healthy
137,26,5032,3.2,53,3.3,healthy
138,15,12015,3.8,45,3.9,healthy
139,26,13257,7.2,41,4.6,healthy
140,19,13257,3.9,57,4.7,healthy
141,27,13257,2.8,63,6.4,healthy
142,26,13257,6.2,81,5.7,healthy
143,24,5085,6.4,41,5.2,healthy
144,36,5005,6.8,39,6.3,unhealthy
145,39,13257,4.2,76,4.7,healthy
146,24,5028,2.8,41,6.0,healthy
147,19,12188,2.8,48,4.5,healthy
148,25,13257,6.2,57,6.0,healthy
149,20,7808,7.2,45,4.5,healthy
150,33,13257,2.8,74,7.0,healthy
151,18,6768,2.8,38,3.8,healthy
152,34,5703,3.1,54,4.0,unhealthy
153,20,5004,6.9,40,3.4,healthy
154,26,13257,2.8,71,7.0,healthy
155,22,11527,2.9,39,6.8,healthy
156,19,13257,2.8,57,3.4,healthy
157,11,5828,2.8,47,6.6,unhealthy
158,26,5006,5.1,39,5.1,healthy
159,33,5005,7.2,39,4.2,unhealthy
160,21,5095,4.5,38,6.1,healthy
161,37,13257,2.9,80,6.8,healthy
162,14,13257,6.2,59,5.1,healthy
163,20,5004,6.1,38,4.5,healthy
164,23,13257,2.8,72,6.8,healthy
165,17,5004,7.2,38,3.3,healthy
166,12,13257,3.6,71,6.0,healthy
167,31,11819,3.4,50,6.4,healthy
168,22,10792,2.8,45,5.1,healthy
169,15,5278,3.3,46,3.4,healthy
170,38,5014,6.9,60,6.5,healthy
171,24,13257,7.1,56,5.9,healthy
172,26,5004,7.2,66,5.5,healthy
173,17,5673,7.0,51,6.5,healthy
174,26,13257,2.8,83,6.6,healthy
175,35,5130,2.8,55,6.7,healthy
176,37,5006,6.2,44,6.3,unhealthy
177,22,5095,7.2,37,6.7,healthy
178,12,6545,6.8,61,6.4,healthy
179,20,13257,2.8,73,6.3,healthy
180,31,5038,7.1,59,5.2,healthy
181,27,13257,4.5,47,5.8,healthy
182,24,13257,3.5,77,4.4,healthy
183,26,5004,7.2,39,4.3,healthy
184,24,13184,6.0,43,5.8,healthy
185,26,10826,3.3,58,4.1,healthy
186,32,5412,2.9,43,6.0,unhealthy
187,25,7098,6.7,57,4.8,healthy
188,28,6476,7.1,46,6.8,healthy
189,26,7388,2.8,63,6.4,healthy
190,19,5005,6.3,61,5.1,healthy
191,18,10505,4.5,65,4.3,healthy
192,28,13257,2.8,75,6.2,healthy
193,26,5027,6.7,44,5.7,healthy
194,27,5211,3.5,45,3.7,healthy
195,20,5004,7.2,43,3.1,healthy
196,31,5153,7.2,44,4.9,unhealthy
197,12,6722,7.2,39,3.4,unhealthy
198,25,5004,4.9,38,5.8,healthy
199,28,6172,2.8,41,7.0,healthy
200,20,13257,3.1,65,6.8,healthy
201,30,13257,2.8,75,6.2,healthy
202,30,5016,6.7,42,7.0,healthy
203,27,9807,2.8,74,6.6,healthy
204,28,5087,2.8,43,4.8,healthy
205,29,13257,2.8,68,7.0,healthy
206,21,10546,7.2,76,4.4,healthy
207,27,13257,3.4,75,6.1,healthy
208,33,5004,4.9,39,5.4,unhealthy
209,18,5004,7.2,38,3.1,healthy
210,12,6529,6.4,73,3.2,healthy
211,20,13257,5.5,41,6.7,healthy
212,35,5004,7.2,46,3.2,unhealthy
213,34,5004,2.8,53,3.4,unhealthy
214,32,5004,3.1,39,3.9,unhealthy
215,10,13257,2.8,39,3.6,healthy
216,34,13257,2.8,79,6.4,healthy
217,25,5566,6.5,62,6.9,healthy
218,31,7296,5.5,52,4.3,healthy
219,20,13257,2.9,41,4.2,healthy
220,16,5012,3.0,48,4.8,healthy
221,17,12345,6.2,39,5.9,healthy
222,23,5009,7.2,69,5.0,healthy
223,31,5010,3.3,45,4.6,unhealthy
224,37,5006,6.8,42,3.8,unhealthy
225,28,13257,3.6,48,6.9,healthy
226,27,12753,2.8,70,6.0,healthy
227,15,5011,4.1,46,3.2,healthy
228,29,13257,2.8,59,6.4,healthy
229,33,5004,2.9,39,4.1,unhealthy
230,16,10200,6.0,61,6.4,healthy
231,22,13257,3.0,46,6.0,healthy
232,25,13257,7.2,75,5.2,healthy
233,26,13257,2.8,47,6.9,healthy
234,24,5004,7.2,42,5.3,healthy
235,21,7622,7.1,46,5.1,healthy
236,18,5005,5.4,44,3.1,healthy
237,18,13257,2.8,44,5.2,healthy
238,28,12807,7.2,57,6.6,healthy
239,17,13257,5.2,60,6.5,healthy
240,22,13257,2.8,63,6.9,healthy
241,26,13257,2.9,65,5.2,healthy
242,22,5004,7.2,39,3.2,healthy
243,35,11392,6.1,41,3.5,unhealthy
244,35,12343,2.8,47,5.0,healthy
245,32,13257,3.6,48,6.8,healthy
246,21,5436,3.5,67,4.0,healthy
247,30,5004,6.2,42,3.0,healthy
248,23,13257,2.8,69,6.2,healthy
249,28,5004,7.2,39,3.0,healthy
250,36,11696,7.2,78,5.3,healthy
251,24,12100,2.8,59,4.9,healthy
