body_temperature,respiratory_rate,walking_capacity,sleeping_duration,heart_rate,ruminating,health_status
40.2,19,5006,7.2,43,4.5,unhealthy
39.6,19,13257,2.8,56,4.6,unhealthy
38.7,23,13257,3.5,70,6.6,healthy
38.2,12,5025,3.4,40,6.4,unhealthy
38.1,36,13095,6.5,48,4.2,unhealthy
38.4,20,13257,4.3,56,6.8,healthy
38.1,15,12205,6.3,63,5.1,healthy
39.1,25,5315,5.0,46,6.3,healthy
38.1,30,9664,2.8,57,4.4,healthy
40.6,16,5004,7.2,40,3.3,unhealthy
38.1,30,13257,2.8,65,4.6,healthy
38.8,28,12141,3.2,41,4.9,unhealthy
38.0,23,13257,2.8,74,6.9,healthy
39.8,21,13257,2.8,53,6.7,healthy
38.2,25,13257,2.8,65,3.8,healthy
38.8,25,11332,2.8,51,6.9,healthy
40.6,21,5004,6.7,40,3.7,healthy
40.6,26,5004,5.7,44,5.0,unhealthy
40.2,35,5019,7.2,73,3.4,healthy
38.1,21,13257,2.8,68,3.6,healthy
40.3,38,5178,7.2,37,5.3,unhealthy
38.2,25,13257,2.9,78,6.9,unhealthy
38.3,16,13257,2.8,49,5.6,healthy
40.5,17,5004,3.4,45,4.1,unhealthy
38.5,17,5004,3.6,51,6.7,unhealthy
40.5,24,5662,6.9,60,3.1,unhealthy
39.3,23,5029,7.2,38,3.6,unhealthy
40.5,32,13225,7.2,63,5.1,healthy
38.0,36,5399,7.1,49,6.0,healthy
38.9,36,5004,7.2,38,4.9,unhealthy
38.0,22,13257,2.8,54,6.7,healthy
39.1,19,13257,7.0,73,5.3,unhealthy
38.1,22,8419,3.0,40,3.5,unhealthy
38.1,33,5031,7.2,58,3.6,healthy
38.6,39,13257,2.8,61,5.9,healthy
40.5,23,13257,2.8,75,6.9,healthy
40.4,26,5496,6.6,45,3.3,healthy
39.3,27,13257,2.8,80,6.9,healthy
40.6,17,13123,6.3,48,6.1,unhealthy
39.1,36,5005,3.5,42,4.9,unhealthy
38.4,39,13257,3.0,75,6.1,healthy
40.0,31,5009,6.6,38,4.3,unhealthy
39.2,26,13025,2.9,46,4.7,unhealthy
40.4,15,9704,2.8,44,4.5,unhealthy
39.5,24,12854,4.4,52,5.4,unhealthy
40.6,22,5012,7.2,47,3.9,healthy
38.0,34,5004,7.2,47,5.4,unhealthy
39.0,28,13257,2.8,50,5.2,healthy
38.2,18,13257,3.9,77,5.3,healthy
38.0,20,11281,3.4,61,6.6,healthy
38.0,41,5005,2.8,61,5.5,healthy
40.2,15,12169,4.7,62,3.2,unhealthy
40.3,32,5200,5.2,41,4.7,unhealthy
39.3,18,13257,6.6,39,6.2,healthy
38.3,34,5068,6.3,41,4.4,unhealthy
39.6,25,7378,3.4,51,6.1,unhealthy
38.2,36,5370,7.1,46,6.5,unhealthy
38.0,26,5135,2.8,51,3.1,unhealthy
40.5,25,5866,3.7,63,3.2,unhealthy
38.5,24,13257,5.1,57,5.9,healthy
38.1,40,13257,5.7,50,5.1,healthy
40.5,25,13257,7.2,83,6.1,unhealthy
40.6,34,5004,7.2,47,5.8,unhealthy
38.5,19,5744,7.2,47,4.1,healthy
40.6,26,5004,7.1,39,3.3,unhealthy
38.2,24,13257,2.8,48,7.0,healthy
39.8,17,13257,2.8,83,7.0,healthy
39.4,24,5011,2.9,42,5.6,unhealthy
40.3,20,13257,2.8,79,4.3,healthy
38.3,25,5374,6.8,41,6.3,healthy
40.6,27,7556,6.3,42,4.1,unhealthy
38.9,30,11249,6.9,50,6.3,unhealthy
39.0,17,13257,2.8,82,7.0,healthy
38.9,39,13257,3.0,72,6.8,healthy
40.5,18,5004,5.3,42,3.2,unhealthy
39.2,26,5010,7.2,44,4.5,healthy
40.6,23,5004,7.2,43,4.7,unhealthy
40.2,37,13257,5.7,76,5.9,unhealthy
40.2,22,12662,6.6,60,5.0,healthy
38.1,32,13257,2.9,52,6.0,healthy
40.6,18,5004,7.2,40,3.0,unhealthy
40.6,19,12419,3.1,64,5.3,unhealthy
38.5,36,13257,2.8,58,5.0,healthy
40.6,30,13161,6.1,42,5.6,healthy
38.0,23,13257,2.8,61,6.8,healthy
40.4,24,5004,2.8,37,5.2,unhealthy
40.3,21,13257,2.9,47,5.2,unhealthy
40.3,28,13204,2.8,50,5.4,healthy
38.4,30,13257,2.8,83,6.9,unhealthy
