body_temperature,respiratory_rate,walking_capacity,sleeping_duration,heart_rate,ruminating,health_status
40.3,28,5004,6.1,38,5.1,healthy
40.3,31,13209,5.0,79,4.2,healthy
39.3,26,13217,2.8,54,5.1,healthy
38.6,42,5496,7.2,49,5.7,healthy
40.5,22,5004,3.0,52,4.8,healthy
38.6,28,5007,2.8,67,6.1,healthy
40.1,37,12609,2.8,45,6.2,healthy
39.6,23,7991,6.8,46,5.7,healthy
40.5,19,13257,6.9,61,6.9,healthy
40.5,32,5004,7.0,38,4.2,unhealthy
40.4,24,13158,2.8,83,5.6,healthy
40.2,30,5004,6.1,65,3.3,healthy
38.4,29,13256,2.8,65,6.1,healthy
38.9,25,13198,6.1,80,4.7,healthy
40.5,27,13257,5.0,80,5.9,healthy
38.6,19,13257,7.2,72,6.8,healthy
40.5,24,9235,7.2,38,4.6,unhealthy
40.3,19,13249,7.2,37,3.4,unhealthy
40.6,14,13249,2.9,38,5.2,healthy
40.5,32,13257,3.0,72,5.5,healthy
40.2,16,5004,7.2,47,3.6,healthy
38.6,27,13257,2.8,52,4.2,healthy
39.7,33,13153,5.2,83,6.5,healthy
40.3,35,7188,7.2,50,3.1,healthy
38.4,36,13000,6.9,42,4.0,healthy
40.6,29,5388,2.9,47,3.1,healthy
40.5,31,5004,7.0,44,4.8,healthy
40.4,13,7569,2.8,43,5.8,healthy
40.0,25,5211,3.5,39,6.7,healthy
40.3,19,5004,7.2,39,5.1,healthy
38.9,28,13257,5.1,77,7.0,healthy
40.1,28,12600,2.8,46,5.1,healthy
40.5,35,5004,6.9,62,5.5,healthy
40.6,22,5190,2.8,37,6.1,healthy
40.1,14,13183,3.4,77,5.4,healthy
38.6,17,13257,2.8,79,4.6,unhealthy
40.6,22,5070,6.4,48,4.8,healthy
38.8,19,13257,2.8,77,4.7,healthy
39.3,30,5004,3.2,57,3.1,unhealthy
40.3,20,5501,7.2,47,3.9,healthy
40.2,14,13257,2.8,52,5.3,healthy
40.4,26,5004,7.2,49,3.2,healthy
40.3,26,5170,5.6,66,4.2,healthy
40.2,33,6603,7.0,66,4.3,unhealthy
40.1,26,5745,3.5,55,4.3,healthy
40.5,19,5671,6.8,41,4.6,unhealthy
40.2,30,5976,7.0,37,4.3,healthy
40.2,21,11551,5.2,76,5.6,healthy
40.2,29,13256,2.8,58,6.5,healthy
39.2,30,13251,3.4,47,6.8,healthy
40.3,18,13257,6.9,44,5.0,healthy
40.6,35,12245,2.9,55,4.1,unhealthy
40.4,18,5004,7.1,51,4.0,healthy
39.4,26,5004,5.3,60,6.8,healthy
40.4,25,5004,6.7,46,3.9,healthy
39.7,24,9678,5.9,52,4.4,healthy
39.6,19,5004,4.5,40,5.0,healthy
40.6,37,13224,6.9,62,5.3,healthy
40.6,24,13195,4.2,52,3.6,healthy
39.9,22,5307,2.8,64,6.7,healthy
40.4,15,5102,3.3,53,6.6,healthy
39.9,18,13022,2.8,48,3.5,unhealthy
40.1,15,5004,7.0,37,3.2,healthy
40.4,29,5004,2.8,37,6.7,healthy
40.6,27,5004,7.2,39,3.1,healthy
37.0,17,12664,5.2,69,7.0,healthy
31.6,19,13257,2.8,63,6.1,unhealthy
39.9,30,6105,7.2,53,3.5,healthy
40.5,23,13257,2.8,60,4.9,unhealthy
39.5,26,5004,6.7,43,6.1,healthy
40.4,24,5004,5.8,56,3.0,healthy
39.6,24,5004,3.1,46,3.9,healthy
37.9,24,13257,2.8,73,6.5,healthy
39.4,12,13240,2.8,60,5.8,healthy
40.6,31,7341,7.2,44,4.4,unhealthy
40.4,22,5004,4.8,38,6.2,healthy
40.2,27,5004,6.3,38,3.1,healthy
40.2,15,12611,2.8,52,3.2,healthy
40.3,21,11990,3.0,47,6.0,healthy
40.0,21,10121,4.1,60,6.3,healthy
40.6,30,5004,7.0,40,3.4,unhealthy
40.1,27,12999,3.2,58,3.2,unhealthy
40.4,18,13251,5.7,72,5.1,healthy
40.1,13,5004,6.4,59,4.9,healthy
38.7,28,13189,2.9,65,6.9,healthy
40.0,28,5032,7.2,49,3.6,healthy
40.1,26,5598,5.5,68,4.2,healthy
40.1,19,13231,7.1,77,4.8,healthy
38.9,21,13257,2.8,72,3.8,healthy
40.3,19,13257,2.8,70,5.4,unhealthy
40.5,16,13239,7.2,51,3.6,unhealthy
40.5,28,5004,7.2,50,5.2,healthy
40.2,16,13256,6.2,50,6.6,healthy
37.9,27,5488,6.8,51,6.7,healthy
40.4,34,5659,5.6,59,4.5,healthy
39.2,18,13242,3.2,77,5.7,healthy
40.5,33,13100,3.3,40,4.4,healthy
40.3,34,12820,6.3,61,5.6,healthy
40.5,21,5004,3.3,46,3.8,healthy
40.2,44,13257,4.7,58,5.6,healthy
40.5,22,7992,3.0,42,4.1,healthy
40.6,23,5004,7.2,38,5.1,healthy
40.6,21,5004,7.2,40,3.3,healthy
40.5,17,13257,3.3,45,5.5,healthy
37.7,20,13243,3.3,52,3.9,healthy
39.6,31,5004,7.2,46,3.7,healthy
40.4,21,9517,3.2,50,6.7,healthy
38.2,31,5807,2.8,46,4.9,unhealthy
40.6,19,12370,7.2,47,3.0,healthy
39.5,18,5155,3.0,47,6.6,healthy
40.1,35,5237,4.1,47,6.9,unhealthy
40.6,22,5004,5.7,72,3.4,healthy
40.6,22,11350,6.1,48,5.6,healthy
40.3,18,5004,3.4,49,5.3,healthy
40.2,29,13257,4.7,51,6.8,healthy
40.6,38,5004,5.7,38,3.4,healthy
40.0,21,5004,2.9,42,3.9,healthy
40.5,35,6519,5.8,52,3.3,healthy
39.8,22,12834,6.4,59,5.5,healthy
39.6,19,13251,2.8,41,5.7,healthy
40.6,15,5553,4.7,47,4.8,healthy
40.6,31,7735,7.1,38,3.9,unhealthy
39.1,13,13232,3.9,71,6.2,healthy
39.6,14,13164,2.8,52,6.7,healthy
39.6,32,5004,5.5,67,5.5,healthy
39.7,31,5004,3.1,42,3.6,unhealthy
40.5,31,5004,5.3,38,3.4,healthy
40.5,21,5212,3.9,76,5.8,unhealthy
36.0,18,13257,2.8,65,6.5,healthy
40.6,26,5004,7.1,41,3.4,healthy
39.2,35,13257,2.8,54,6.5,healthy
37.2,28,5071,2.9,68,3.4,unhealthy
40.5,31,5004,7.2,52,5.6,healthy
38.3,22,13257,2.8,73,6.8,healthy
38.8,21,13257,2.8,78,6.0,healthy
40.6,27,13257,3.6,72,6.9,healthy
40.3,33,13257,5.9,56,7.0,healthy
40.6,30,13024,6.5,49,4.8,healthy
40.4,35,5817,5.4,59,6.1,healthy
40.3,22,5004,3.0,59,3.9,healthy
40.3,27,12868,3.2,56,6.8,healthy
39.6,22,13256,3.8,65,5.8,healthy
40.2,23,13257,2.8,45,6.6,healthy
40.1,23,5039,7.1,45,6.2,healthy
39.7,14,5004,7.2,45,3.1,healthy
40.5,15,13231,2.8,53,4.2,healthy
39.6,25,10392,7.2,62,3.8,healthy
40.3,29,12118,6.3,62,6.2,healthy
39.8,22,5231,2.8,56,5.6,healthy
40.3,23,5004,3.2,41,3.5,unhealthy
35.5,17,13255,2.8,67,5.3,healthy
40.3,42,5004,7.2,74,3.2,healthy
40.5,20,11668,6.0,54,3.7,healthy
40.5,33,5008,7.2,39,3.2,healthy
37.4,23,13132,2.8,77,5.1,healthy
38.6,31,5307,7.1,57,7.0,healthy
40.6,28,12777,3.4,73,5.3,healthy
38.3,44,11969,6.7,55,5.3,healthy
40.2,17,5072,7.2,48,4.4,unhealthy
40.5,17,5004,6.7,38,3.2,healthy
39.5,27,5004,7.2,51,5.2,healthy
39.5,11,13257,2.8,60,6.1,healthy
40.0,37,8036,2.8,51,5.7,healthy
40.2,34,5004,7.2,45,4.4,healthy
38.9,29,13257,2.8,81,6.6,healthy
40.6,34,5004,7.2,37,4.4,healthy
39.5,41,13256,2.8,51,6.7,healthy
39.7,18,9857,5.6,53,6.0,healthy
40.1,27,12261,7.1,70,5.0,healthy
40.5,33,8822,7.0,56,4.1,unhealthy
39.7,14,10522,4.6,40,3.2,healthy
39.9,19,5004,2.8,57,4.9,healthy
40.2,20,11323,2.9,37,6.0,healthy
39.0,29,7027,4.2,41,5.6,healthy
39.7,16,13257,2.8,82,6.7,healthy
39.5,13,13256,7.1,49,5.4,healthy
39.8,16,5102,7.1,42,3.8,healthy
38.3,25,5004,7.2,43,3.7,healthy
39.0,36,11298,3.1,43,4.0,unhealthy
39.6,28,13257,2.8,61,6.8,healthy
40.3,19,9384,3.9,40,3.6,healthy
40.0,17,6099,4.8,58,6.7,healthy
40.5,28,13257,2.8,50,6.0,healthy
40.4,27,5004,6.6,39,3.2,healthy
39.9,19,5004,5.7,57,5.6,healthy
40.5,26,12835,3.8,54,5.5,healthy
39.9,22,6329,7.1,55,4.9,healthy
40.4,21,10429,3.8,44,5.1,healthy
38.6,23,5004,4.7,42,5.3,healthy
39.7,20,13257,7.1,61,6.8,healthy
40.2,30,13252,5.5,39,5.0,healthy
40.4,29,12763,3.0,53,3.2,unhealthy
39.9,20,13257,2.8,69,6.3,healthy
40.0,22,5316,7.0,43,5.2,healthy
